Country,Gender,Age,Time,Start Time
USA,M,30,153.5,0.0
NZL,M,30,153.55,0.1
DEN,M,40,153.66666666666666,0.11666666666666667
GBR,M,40,153.81666666666666,0.4
POL,M,35,153.81666666666666,0.13333333333333333
GER,M,35,153.9,0.1
GER,M,35,153.98333333333332,0.0
GBR,M,45,154.05,0.21666666666666667
POL,M,35,154.08333333333334,0.2
CHI,M,30,154.11666666666667,0.15
GER,M,30,154.11666666666667,0.1
GBR,M,35,154.13333333333333,0.11666666666666667
MAS,M,30,154.16666666666666,0.08333333333333333
GBR,M,35,154.35,0.13333333333333333
DEN,M,35,154.41666666666666,0.13333333333333333
LTU,M,35,154.46666666666667,0.1
GER,M,35,154.48333333333332,0.26666666666666666
FRA,M,40,154.48333333333332,0.23333333333333334
IRL,M,35,154.51666666666668,0.11666666666666667
USA,M,30,154.53333333333333,0.23333333333333334
ESP,M,30,154.61666666666667,0.08333333333333333
ITA,M,40,154.61666666666667,0.13333333333333333
NED,M,35,154.65,0.08333333333333333
GBR,M,40,154.66666666666666,0.11666666666666667
NOR,M,40,154.68333333333334,0.5666666666666667
BEL,M,40,154.75,0.18333333333333332
GER,M,40,154.8,0.08333333333333333
NOR,M,35,154.85,0.1
UKR,M,30,154.85,0.45
GBR,M,35,154.88333333333333,0.3
GBR,M,30,154.88333333333333,0.0
SWE,M,35,154.95,0.18333333333333332
SWE,M,30,154.98333333333332,0.15
GER,M,35,155.01666666666668,0.08333333333333333
AUS,M,35,155.01666666666668,0.18333333333333332
NOR,M,35,155.03333333333333,0.13333333333333333
GBR,M,35,155.06666666666666,0.06666666666666667
GBR,M,35,155.06666666666666,0.21666666666666667
GBR,M,30,155.18333333333334,0.23333333333333334
NOR,M,30,155.3,0.13333333333333333
GER,M,35,155.33333333333334,0.2833333333333333
GBR,M,35,155.33333333333334,0.16666666666666666
FRA,M,30,155.35,0.11666666666666667
ISL,M,45,155.38333333333333,0.13333333333333333
BEL,M,30,155.43333333333334,0.11666666666666667
IRL,M,30,155.5,0.11666666666666667
IRL,M,40,155.53333333333333,0.4666666666666667
USA,M,30,155.55,0.31666666666666665
NOR,M,35,155.65,0.25
IRL,M,35,155.66666666666666,0.11666666666666667
